0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 170)
6,Block,8,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
7,Block,8,Face,3,Pattern,WhiteSquare,action,RotateLeft
8,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
9,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
11,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
13,Block,6,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
14,Block,6,Face,6,Pattern,BlackBottomRightCornerSquare,action,GoToFaceSix
15,Block,6,Face,5,Pattern,BlackSquare,action,GoToFaceFive
16,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
18,Block,5,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
19,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
20,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
21,Block,4,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
22,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
23,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
24,Block,3,Face,5,Pattern,BlackSquare,action,GoToFaceFive
25,Block,3,Face,5,Pattern,BlackSquare,action,RotateLeft
26,Block,3,Face,5,Pattern,BlackSquare,action,RotateRight
27,Block,3,Face,5,Pattern,BlackSquare,action,RotateLeft
28,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
29,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
30,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
31,Block,2,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
32,Block,2,Face,1,Pattern,BlackBottomLeftCornerSquare,action,RotateRight
33,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
34,Block,2,Face,2,Pattern,WhiteSquare,action,RotateLeft
35,Block,2,Face,2,Pattern,WhiteSquare,action,RotateRight
36,Block,2,Face,2,Pattern,WhiteSquare,action,RotateRight
37,Block,2,Face,2,Pattern,WhiteSquare,action,RotateRight
38,Block,2,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
39,Block,2,Face,3,Pattern,WhiteSquare,action,RotateRight
40,Block,2,Face,6,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceSix
41,Block,2,Face,4,Pattern,BlackSquare,action,GoToFaceFour
42,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
43,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
44,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
45,Block,1,Face,5,Pattern,BlackSquare,action,GoToFaceFive
46,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
47,Block,1,Face,5,Pattern,BlackSquare,action,GoToFaceFive
48,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,GoToFaceOne
49,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
50,Block,1,Face,6,Pattern,BlackBottomRightCornerSquare,action,GoToFaceSix
0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
4,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
5,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
